location,latitude [degree],longitude [degree],height of station ground above mean sea level [m]
1152,67.16,14.22,13
1384,60.12,11.05,208
2836,67.22,26.38,179
2935,62.24,25.40,141
2963,60.49,23.30,103
3005,60.08,-1.11,82
3023,57.21,-7.23,4
3026,58.13,-6.19,8
3066,57.39,-3.34,5
3171,56.23,-2.52,10
3213,54.20,-3.24,9
3238,55.01,-1.53,142
3240,55.25,-1.36,23
3257,54.18,-1.32,33
3354,53.00,-1.15,117
3377,53.11,-0.31,70
3414,52.48,-2.40,72
3496,52.41,1.41,14
3502,52.08,-4.34,133
3590,52.07,0.57,90
3649,51.45,-1.35,82
3693,51.33,0.50,2
3743,51.12,-1.48,132
3808,50.13,-5.20,87
3840,50.52,-3.14,252
3882,50.54,0.19,52
3917,54.40,-6.14,63
3920,54.29,-6.06,38
4018,63.59,-22.36,54
4030,64.08,-21.56,61
4089,65.17,-14.24,23
4220,68.42,-52.51,41
4234,66.57,-53.44,8
4320,76.46,-18.40,12
4339,70.29,-21.57,71
4360,65.37,-37.38,56
6011,62.01,-6.46,56
6030,57.06,9.51,13
6060,56.18,9.07,53
6096,55.11,8.34,9
6181,55.46,12.32,42
6235,52.56,4.47,1
6242,53.14,4.55,10
6260,52.06,5.11,4
6290,52.16,6.53,35
6350,51.34,4.56,13
6447,50.48,4.21,101
6451,50.54,4.32,55
6458,50.45,4.46,123
6476,50.02,5.24,557
6610,46.49,6.57,490
6620,47.41,8.37,440
6632,47.11,7.25,429
6842,47.23,9.17,506
6849,47.14,9.30,436
7005,50.08,1.50,72
7110,48.27,-4.23,95
7145,48.46,2.01,174
7180,48.41,6.13,213
7255,47.04,2.22,166
7481,45.44,5.05,240
7510,44.50,-0.41,48
7572,44.01,6.32,1772
7618,43.35,1.22,158
7645,43.51,4.24,62
7650,43.26,5.13,32
7714,44.35,6.39,2575
7761,41.55,8.48,9
8001,43.22,-8.25,67
8023,43.29,-3.48,59
8160,41.40,-1.00,258
8301,39.33,2.38,3
8430,38.00,-1.10,62
8522,32.39,-16.54,59
8579,38.46,-9.08,105
8594,16.45,-22.57,56
10113,53.43,7.09,16
10147,53.38,9.59,15
10184,54.06,13.24,7
10200,53.23,7.14,-2
10238,52.49,9.55,77
10304,52.43,7.19,41
10338,52.28,9.41,59
10356,52.10,11.11,163
10384,52.28,13.24,49
10488,51.08,13.45,232
10557,50.30,11.08,851
10618,49.42,7.20,377
10908,47.52,8.00,1496
10954,47.50,10.52,757
10962,47.48,11.01,986
11010,48.14,14.11,313
11036,48.07,16.35,183
11120,47.16,11.21,593
11124,47.09,10.13,2805
11126,47.13,11.28,2252
11240,46.59,15.26,363
11406,50.04,12.23,490
11509,50.28,14.10,160
11520,50.00,14.27,304
11538,49.12,14.21,508
11698,48.53,16.05,339
11747,49.27,17.08,217
11952,49.02,20.19,703
12105,54.12,16.09,35
12120,54.45,17.32,6
12150,54.23,18.28,138
12185,54.04,21.22,110
12195,54.08,22.57,185
12205,53.24,14.37,7
12250,53.03,18.36,72
12270,53.06,20.22,149
12272,53.46,20.25,137
12295,53.06,23.10,150
12330,52.25,16.50,88
12345,52.12,18.40,117
12360,52.35,19.44,109
12375,52.10,20.58,106
12400,51.56,15.31,192
12415,51.12,16.12,124
12455,51.13,18.33,201
12465,51.43,19.24,190
12495,51.13,22.24,240
12500,50.54,15.47,343
12566,50.05,19.48,242
12570,50.49,20.42,261
12580,50.07,22.01,213
12843,47.26,19.11,139
12935,46.55,18.03,109
12982,46.15,20.05,83
13269,44.19,19.55,177
13275,44.46,20.25,203
13289,44.07,21.57,1039
13369,43.17,20.00,1039
13383,43.34,21.21,167
13388,43.20,21.54,203
13586,41.58,21.39,239
13615,41.20,19.47,90
14015,46.04,14.31,298
14240,45.49,16.02,128
14256,45.53,17.12,263
14370,45.10,18.00,89
14430,44.06,15.20,79
14445,43.30,16.26,128
15010,47.43,22.53,124
15080,47.02,21.54,137
15094,47.01,27.35,400
15120,46.47,23.34,411
15145,46.32,24.31,311
15150,46.33,26.54,175
15200,46.08,21.21,118
15247,45.46,21.15,87
15260,45.47,24.05,444
15302,45.30,25.35,1091
15310,45.28,28.02,70
15350,45.08,26.51,98
15360,45.10,29.44,13
15410,44.38,22.38,78
15420,44.31,26.05,91
15421,44.30,26.13,91
15450,44.19,23.52,193
15462,44.15,28.15,71
15480,44.13,28.39,14
15552,43.12,27.57,43
15614,42.39,23.23,591
16253,41.04,14.05,10
16560,39.15,9.04,2
16597,35.51,14.29,91
16622,40.32,22.58,4
16648,39.39,22.28,73
16682,37.55,21.17,12
16716,37.53,23.45,45
16723,37.41,26.55,11
16754,35.20,25.11,40
17022,41.27,31.47,137
17030,41.21,36.15,4
17038,41.00,39.47,34
17062,40.54,29.09,18
17090,39.45,37.00,1285
17096,39.57,41.11,1758
17116,40.14,29.01,100
17130,39.57,32.53,891
17150,39.37,27.55,102
17220,38.24,27.05,29
17240,37.47,30.34,997
17246,37.12,33.13,1023
17280,37.54,40.12,674
17292,37.13,28.22,646
17300,36.52,30.44,64
17351,37.00,35.21,27
17600,34.43,32.29,8
17601,34.36,32.59,26
17607,35.08,33.24,162
17609,34.52,33.37,12
20046,80.38,58.04,25
20094,79.17,101.37,26
20107,78.03,14.13,76
20292,77.43,104.18,15
20674,73.31,80.24,46
20891,71.59,102.28,33
21432,76.00,137.52,15
21824,71.35,128.55,7
21946,70.37,147.53,61
21982,70.59,-178.39,5
22113,68.57,33.03,51
22217,67.10,32.21,25
22271,67.53,44.10,8
22550,64.30,40.44,8
22820,61.49,34.16,111
22845,61.30,38.56,126
23022,69.47,61.39,48
23078,69.21,88.16,65
23205,67.38,53.01,12
23330,66.32,66.40,16
23418,65.08,57.08,59
23472,65.48,87.59,38
23552,64.55,77.46,27
23804,61.41,50.47,119
23884,61.35,90.02,58
23921,60.41,60.27,94
23933,61.02,69.07,44
23955,60.26,77.52,49
24125,68.30,112.26,220
24266,67.34,133.24,136
24343,66.46,123.24,92
24507,64.16,100.13,191
24641,63.47,121.37,111
24688,63.15,143.09,740
24726,62.32,113.52,357
24817,61.16,108.01,291
24908,60.20,102.18,260
24944,60.24,120.25,230
24959,62.01,129.43,101
25123,68.45,161.17,28
25399,66.10,-169.50,7
25400,65.44,150.54,43
25428,65.14,160.32,260
25563,64.47,177.34,61
25677,63.01,179.17,5
25703,62.55,152.25,210
25913,59.33,150.47,116
26038,59.24,24.36,34
26063,59.58,30.18,6
26258,57.49,28.20,44
26298,57.53,34.02,187
26422,56.57,24.07,7
26435,56.39,25.08,81
26477,56.21,30.37,103
26629,54.53,23.50,77
26702,54.44,20.33,21
26781,54.45,32.04,238
26850,53.56,27.38,224
27037,59.19,39.56,130
27199,58.34,49.34,158
27459,56.16,44.00,157
27595,55.44,49.12,119
27612,55.50,37.37,157
27703,54.33,36.22,199
27707,54.06,35.21,238
27730,54.38,39.42,157
27944,52.44,41.28,161
27962,53.07,45.01,172
27995,52.59,49.26,45
28275,58.09,68.15,47
28445,56.44,61.04,288
28661,55.27,65.24,72
28698,55.01,73.23,122
28722,54.43,55.49,104
28952,53.14,63.44,170
29231,58.19,82.57,75
29263,58.27,92.12,79
29282,58.23,97.27,134
29612,55.21,78.18,120
29698,54.53,99.02,411
29862,53.46,91.19,256
30054,59.27,112.35,190
30230,57.46,108.04,259
30309,56.17,101.45,416
30372,56.54,118.16,711
30521,54.48,105.10,419
30554,54.27,113.35,902
30635,53.25,109.01,461
30673,53.45,119.44,625
30692,54.00,123.58,397
30715,52.29,103.51,437
30758,52.05,113.29,671
30935,50.22,108.45,771
30965,50.24,116.31,676
31004,58.37,125.22,679
31088,59.22,143.12,6
31168,56.27,138.09,8
31300,53.44,127.17,230
31329,53.05,132.56,542
31369,53.09,140.42,46
31510,50.17,127.29,169
31538,50.04,132.08,347
31770,49.00,140.18,24
31873,45.52,133.44,105
31909,45.00,136.36,62
31977,43.16,132.03,87
32061,50.54,142.10,31
32098,49.13,143.06,8
32150,46.57,142.43,24
32165,44.01,145.52,45
32215,50.41,156.08,23
32389,56.19,160.50,29
32477,54.18,155.55,25
32540,53.05,158.35,84
32618,55.12,165.59,18
33317,50.10,27.02,278
33345,50.24,30.32,167
33393,49.48,23.58,323
33631,48.38,22.16,124
33658,48.16,25.58,246
33791,48.03,33.13,124
33815,47.01,28.59,173
33837,46.26,30.46,42
33946,45.02,33.58,181
33966,45.03,34.36,205
34009,51.46,36.10,247
34247,50.25,41.03,92
34300,49.56,36.17,155
34560,48.47,44.22,134
34858,45.55,43.21,86
34880,46.17,47.59,-21
35121,51.42,55.05,118
35229,50.15,57.13,219
35394,49.48,73.09,553
35671,47.48,67.43,346
35700,47.07,51.53,-22
35796,46.48,75.05,350
36003,52.12,77.04,122
36096,51.43,94.30,632
36870,43.14,76.56,851
37018,44.06,39.04,62
37054,44.14,43.04,328
37099,43.35,39.46,131
37735,40.43,46.25,311
37747,40.37,47.09,15
37789,40.13,44.30,1134
37860,40.32,50.00,28
37914,39.52,48.03,-1
37936,39.12,45.25,885
37985,38.44,48.50,-12
38062,44.49,65.32,130
38264,42.29,59.37,75
38341,42.51,71.18,652
38353,42.51,74.32,760
38396,41.34,60.38,100
38457,41.20,69.18,477
38606,40.33,70.57,399
38611,41.00,71.35,474
38683,39.43,64.37,224
38696,39.38,66.57,725
38812,38.45,65.43,375
38836,38.35,68.44,800
38927,37.17,67.19,311
38954,37.30,71.30,2075
40080,33.25,36.31,609
40100,33.49,35.29,19
40179,32.00,34.49,35
40265,32.22,36.15,683
40290,31.52,35.13,759
40373,28.19,46.08,358
40375,28.23,36.36,768
40394,27.26,41.41,1002
40417,26.27,49.49,12
40430,24.33,39.42,636
40437,24.56,46.43,614
40608,36.19,43.09,223
40642,33.02,40.17,631
40650,33.18,44.24,32
40676,31.01,46.14,5
40689,30.31,47.47,2
40690,30.31,47.47,3
40706,38.07,46.15,1361
40745,36.14,59.38,999
40754,35.42,51.19,1191
40766,34.21,47.09,1319
40800,32.31,51.42,1550
40809,32.53,59.17,1491
40811,31.21,48.45,22
40821,31.54,54.17,1237
40841,30.15,56.58,1754
40848,29.34,52.36,1484
40856,29.28,60.54,1370
40875,27.13,56.22,10
40938,34.13,62.13,964
40948,34.33,69.13,1791
40990,31.30,65.51,1010
41024,21.42,39.11,17
41112,18.14,42.39,2093
41114,18.18,42.48,2056
41169,25.16,51.36,4
41170,25.15,51.34,10
41217,24.26,54.39,27
41256,23.37,58.16,8
41316,17.02,54.04,23
41404,15.31,44.11,2190
41443,14.35,49.15,25
41480,12.50,45.02,3
41494,12.38,53.54,47
41506,35.51,71.50,1500
41515,35.34,71.47,1465
41516,35.55,74.20,1459
41517,35.18,75.41,2181
41529,34.02,71.56,329
41532,34.22,73.29,2303
41560,33.52,70.05,1726
41571,33.37,73.06,508
41594,32.03,72.40,188
41598,32.56,73.43,234
41600,32.30,74.32,256
41620,31.21,69.28,1407
41624,31.49,70.55,173
41640,31.33,74.20,215
41672,30.47,72.12,150
41675,30.12,71.26,123
41678,29.57,73.15,163
41685,29.53,69.43,1098
41696,29.02,66.35,2017
41710,28.49,62.45,683
41712,28.53,64.24,850
41715,28.18,68.28,56
41718,28.39,70.41,88
41739,26.58,64.06,981
41744,27.50,66.38,1232
41749,26.15,68.22,38
41756,25.04,61.48,57
41764,25.23,68.25,30
41768,25.31,69.47,6
41780,24.54,67.08,22
41859,25.44,89.14,34
41883,24.51,89.22,20
41891,24.54,91.53,35
41907,24.08,89.03,14
41922,23.51,90.24,10
41923,23.46,90.23,9
41936,23.11,89.10,7
41943,23.02,91.25,8
41950,22.45,90.22,4
41977,22.21,91.49,34
41984,21.59,90.14,9
41992,21.26,91.56,4
42027,34.05,74.50,1587
42042,33.59,74.47,1666
42071,31.38,74.52,234
42101,30.20,76.28,252
42103,30.23,76.46,273
42111,30.19,78.02,683
42123,29.55,73.53,177
42165,28.00,73.18,224
42170,28.15,74.55,286
42182,28.35,77.12,216
42189,28.22,79.24,169
42260,27.09,77.58,168
42273,27.34,81.36,124
42299,27.20,88.37,1756
42314,27.29,95.01,111
42328,26.54,70.55,257
42339,26.18,73.01,221
42348,26.49,75.48,390
42361,26.14,78.15,207
42367,26.24,80.24,126
42369,26.45,80.53,124
42379,26.45,83.22,77
42410,26.06,91.35,72
42416,26.43,92.48,71
42435,25.45,71.23,193
42452,25.09,75.51,279
42475,25.27,81.44,98
42492,25.36,85.10,57
42498,25.14,86.57,44
42539,24.12,72.12,136
42542,24.37,73.53,514
42591,24.45,84.57,116
42623,24.46,93.54,774
42634,23.15,69.48,117
42647,23.04,72.38,56
42667,23.17,77.21,521
42675,23.12,79.57,398
42701,23.19,85.19,646
42724,23.53,91.15,39
42734,22.27,70.05,20
42798,22.49,86.11,143
42809,22.39,88.27,6
42840,21.12,72.50,10
42867,21.06,79.03,310
42874,21.14,81.39,296
42886,21.55,84.05,230
42895,21.31,86.56,18
42909,20.54,70.22,12
42971,20.15,85.50,49
42976,20.18,86.41,9
43003,19.07,72.51,15
43014,19.51,75.24,585
43041,19.05,82.02,554
43049,19.16,84.53,17
43063,18.32,73.51,558
43110,16.59,73.20,91
43128,17.27,78.28,535
43150,17.41,83.18,70
43185,16.12,81.09,10
43192,15.29,73.49,64
43194,15.23,73.49,62
43201,15.25,75.38,669
43237,14.35,77.38,372
43279,13.00,80.11,16
43284,12.55,74.53,106
43285,12.57,74.50,32
43295,12.58,77.35,923
43311,11.07,72.44,12
43333,11.40,92.43,79
43344,10.46,78.43,94
43346,10.55,79.50,6
43369,8.18,73.09,2
43371,8.29,76.57,64
43373,8.32,76.52,7
43413,8.59,79.55,3
43418,8.35,81.15,79
43424,8.02,79.50,2
43466,6.54,79.52,7
43497,6.07,81.08,16
43555,4.12,73.32,3
43599,-0.42,73.09,3
44212,49.58,92.05,939
44231,49.38,100.10,1283
44259,48.05,114.32,747
44277,46.23,96.14,2181
44288,46.16,102.47,1813
44292,47.55,106.51,1304
44373,43.35,104.25,1465
44454,27.42,85.22,1337
45011,22.10,113.34,114
47041,39.56,127.33,22
47058,39.02,125.47,36
47083,37.20,127.35,61
47084,37.21,127.15,142
47086,36.13,126.32,4
47088,36.24,128.17,90
47090,38.15,128.34,19
47102,37.58,124.43,146
47103,37.56,124.38,169
47104,37.48,128.51,80
47105,37.45,128.53,27
47107,37.44,128.56,6
47110,37.33,126.48,10
47111,37.27,127.06,21
47113,37.28,126.26,7
47118,38.14,127.57,125
47120,37.13,127.00,24
47122,37.05,127.02,52
47123,37.06,128.52,704
47128,36.43,127.30,53
47134,36.37,128.21,107
47138,36.02,129.23,4
47142,35.53,128.40,36
47147,36.18,127.13,145
47153,35.10,128.56,3
47155,35.10,128.34,38
47158,35.07,126.48,13
47161,35.04,128.03,8
47169,34.41,125.27,78
47175,34.28,126.19,478
47185,33.18,126.10,76
47188,33.23,126.53,19
47401,45.25,141.41,12
47406,43.57,141.38,25
47412,43.04,141.20,26
47417,42.55,143.13,44
47418,42.57,144.26,16
47420,43.20,145.35,27
47570,37.29,139.55,214
47580,40.42,141.22,37
47582,39.43,140.06,22
47585,39.39,141.58,47
47587,38.55,139.51,5
47590,38.16,140.54,44
47600,37.24,136.54,7
47612,37.06,138.15,15
47616,36.03,136.13,17
47626,36.09,139.23,32
47629,36.23,140.28,31
47636,35.10,136.58,56
47640,35.30,138.46,861
47646,36.03,140.08,27
47656,34.59,138.24,16
47663,34.04,136.12,17
47674,35.09,140.19,14
47678,33.07,139.47,153
47681,34.45,137.41,45
47741,35.27,133.04,22
47744,35.26,133.20,8
47749,35.29,135.23,9
47755,34.54,132.04,21
47764,34.09,132.15,6
47778,33.27,135.45,69
47805,33.22,129.33,59
47807,33.35,130.23,15
47815,33.14,131.37,13
47819,32.49,130.42,39
47822,32.35,131.39,21
47827,31.33,130.33,32
47881,34.08,134.37,11
47891,34.19,134.03,11
47898,32.43,133.01,34
47909,28.24,129.33,295
47912,24.28,123.01,36
47918,24.20,124.10,15
47936,26.12,127.41,50
47945,25.50,131.14,21
47971,27.06,142.11,8
47981,24.47,141.19,120
47991,24.17,153.59,9
48008,25.22,97.24,147
48024,23.12,94.04,152
48042,21.57,96.05,76
48053,20.50,95.50,220
48060,21.18,99.37,828
48062,20.08,92.53,5
48071,19.25,93.33,5
48078,18.55,96.28,49
48080,18.28,94.21,11
48094,16.46,94.46,10
48097,16.52,96.09,20
48108,14.06,98.13,17
48109,14.07,93.22,3
48110,12.26,98.36,37
48112,9.58,98.35,47
48327,18.46,98.58,314
48354,17.23,102.49,178
48378,16.48,100.17,46
48407,15.15,104.52,124
48431,14.58,102.05,187
48453,13.40,100.36,3
48455,13.44,100.34,4
48477,12.41,100.59,21
48480,12.37,102.06,4
48500,11.50,99.49,6
48551,9.08,99.09,7
48565,8.09,98.19,9
48568,7.11,100.36,7
48601,5.18,100.16,4
48602,5.28,100.23,4
48615,6.10,102.17,5
48620,4.13,100.42,8
48647,3.07,101.33,22
48648,3.06,101.39,47
48650,2.43,101.42,17
48657,3.47,103.13,16
48672,2.01,103.19,86
48698,1.22,103.59,14
48820,21.02,105.48,6
48839,20.08,107.43,56
48855,16.04,108.21,7
48887,10.56,108.06,5
48900,10.49,106.40,5
48914,9.11,105.09,2
48966,13.22,103.51,15
48985,10.36,104.11,4
48991,11.36,104.52,10
50557,49.10,125.14,243
51076,47.44,88.05,737
51156,46.49,85.45,1323
51431,43.57,81.20,664
51644,41.43,82.57,1084
51709,39.29,75.45,1387
51777,39.02,88.10,889
51828,37.08,79.56,1375
52203,42.49,93.31,739
52267,41.57,101.04,941
52323,41.48,97.02,1770
52418,40.09,94.41,1140
52533,39.46,98.29,1478
52681,38.38,103.05,1369
52818,36.25,94.54,2809
52836,36.18,98.06,3190
52983,35.52,104.09,1875
53336,41.34,108.31,1290
53463,40.51,111.34,1154
53513,40.44,107.22,1042
53543,39.50,109.59,1459
53614,38.28,106.12,1112
53798,37.11,114.22,184
53915,35.32,106.40,1469
54102,43.57,116.07,1004
54135,43.36,122.16,180
54161,43.54,125.13,238
54292,42.52,129.30,258
54337,41.08,121.07,70
54342,41.44,123.31,49
54374,41.48,126.53,381
54401,40.47,114.53,774
54497,40.03,124.20,14
54511,39.56,116.17,33
54539,39.26,118.54,12
54662,38.54,121.38,97
54823,36.36,117.03,169
54857,36.04,120.20,77
55299,31.29,92.04,4508
55591,29.40,91.08,3650
56080,35.00,102.54,2910
56146,31.37,100.00,3394
56571,27.54,102.16,1599
56691,26.52,104.17,2236
56739,24.59,98.30,1697
56778,25.01,102.41,1892
56964,22.46,100.59,1303
56985,23.27,103.20,1314
57067,34.05,111.04,660
57083,34.43,113.39,111
57127,33.04,107.02,509
57131,34.26,108.58,411
57178,33.06,112.29,182
57290,32.56,113.55,107
57447,30.17,109.28,458
57461,30.44,111.22,258
57494,30.36,114.03,25
57957,25.20,110.18,166
57972,25.44,112.58,369
58027,34.17,117.09,42
58150,33.45,120.18,3
58203,32.52,115.44,33
58238,31.56,118.54,36
58362,31.25,121.27,9
58424,30.37,116.58,62
58457,30.14,120.10,43
58606,28.36,115.55,50
58633,28.58,118.52,83
58725,27.20,117.28,219
58847,26.05,119.17,85
58968,25.02,121.31,9
59023,24.42,108.02,261
59096,24.23,114.29,285
59134,24.29,118.05,139
59211,23.54,106.36,177
59265,23.29,111.18,120
59362,24.01,121.37,14
59431,22.47,108.33,153
59663,21.50,111.58,91
59758,20.00,110.15,64
59792,20.40,116.43,6
59948,18.13,109.35,420
59981,16.50,112.20,5
60020,28.27,-16.15,36
60096,23.43,-15.56,9
60101,35.44,-5.54,14
60115,34.47,-1.56,470
60150,33.53,-5.31,560
60155,33.34,-7.40,57
60191,32.22,-6.24,472
60252,30.20,-9.24,74
60360,36.50,7.49,8
60390,36.41,3.13,29
60402,36.43,5.04,7
60419,36.17,6.37,692
60430,36.18,2.14,721
60445,36.10,5.19,1015
60490,35.23,0.22,91
60525,34.48,5.44,89
60535,33.09,3.23,1185
60550,33.43,1.05,1347
60559,33.30,6.47,69
60566,32.24,3.48,469
60571,31.30,-2.15,816
60580,31.56,5.24,148
60590,30.34,2.52,403
60602,30.08,-2.10,505
60607,29.15,0.17,317
60611,28.03,9.38,562
60620,27.49,-0.11,283
60630,27.14,2.30,269
60640,26.30,8.25,541
60656,27.42,-8.10,449
60670,24.16,9.28,970
60680,22.48,5.26,1377
60710,36.57,8.45,21
60714,37.15,9.48,3
60715,36.50,10.14,4
60720,36.51,11.05,30
60725,36.29,8.48,144
60735,35.40,10.06,68
60738,35.33,8.41,1092
60740,35.40,10.45,3
60745,34.25,8.49,314
60750,34.43,10.41,23
60760,33.55,8.10,86
60769,33.52,10.46,4
60775,32.19,10.24,301
60780,31.41,9.18,259
61017,18.41,12.55,357
61024,16.58,7.59,502
61043,14.54,5.15,391
61052,13.29,2.10,227
61075,13.48,5.15,273
61080,13.28,7.05,373
61085,13.25,12.47,305
61090,13.47,8.59,453
61202,20.12,0.59,491
61214,18.26,1.21,459
61223,16.43,-3.00,264
61226,16.16,-0.03,260
61233,15.10,-7.17,265
61257,14.26,-11.26,47
61265,14.31,-4.06,272
61272,13.24,-6.09,289
61291,12.32,-7.57,381
61401,25.14,-11.37,360
61404,22.45,-12.29,343
61415,20.55,-17.02,3
61421,20.31,-13.04,224
61442,18.18,-15.59,8
61497,16.36,-7.16,269
61498,16.38,-11.24,115
61600,16.03,-16.27,2
61641,14.44,-17.30,24
61687,13.46,-13.41,49
61695,12.33,-16.16,19
61731,13.19,-14.13,4
61856,8.37,-13.12,27
61891,7.59,-10.51,186
61901,-15.57,-5.40,436
61902,-7.58,-14.24,79
61931,0.23,6.43,13
61967,-7.18,72.24,3
